month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202010,91910,"chula vista, ca",*,619050,0.0248,0.0765,28,0.2174,nan,21,-0.2075,-0.4,32,-0.1111,-0.3846,4,nan,nan,8,nan,-0.6,111,0.4416,0.7903,355.5176337,0.0066,0.1083,1618,0.0202,-0.0149,646383,0.0417,-0.0289,139,0.39,0.1032,3.9643,0.6165,2.9955
202010,92110,"san diego, ca",nan,650050,0.0501,0.0934,44,-0.0222,0.3333,24,-0.04,-0.0769,28,-0.3,0,0,nan,nan,16,0,0,58,0.381,0.5676,541.3034188,0.0473,0.2669,1372,0.1127,0.0262,781321,0.0197,0.1968,102,0.1724,0.4571,1.3182,0.3848,0.197
202009,92110,"san diego, ca",nan,619050,0.0317,0.0412,45,0.1538,0.2162,25,-0.0741,-0.3243,40,0,0.6667,0,nan,nan,16,1,0,42,0.05,0.2727,516.8447001,-0.0145,0.2087,1233,-0.0833,-0.1534,766243,-0.0708,0.1519,87,0.1013,0.2429,0.9333,-0.0923,0.0414
202009,91910,"chula vista, ca",*,604050,-0.0098,0.0401,23,-0.2813,nan,26.5,-0.1719,-0.4239,36,0,-0.1818,0,-1,-1,0,-1,-1,77,-0.0375,0.0845,353.1733361,0.0053,0.084,1586,0.0102,-0.0533,620519,-0.0271,-0.0803,100,-0.1071,-0.1667,3.3478,0.8478,1.8988
202008,91910,"chula vista, ca",nan,610050,-0.0073,0.1076,32,0.0667,-0.4576,32,0.0667,-0.0857,36,-0.25,-0.4,4,nan,nan,8,1,-0.3333,80,0.194,0.1594,351.2964564,0.0467,0.0873,1570,-0.0505,-0.0235,637827,-0.068,0.012,112,0.1546,-0.125,2.5,0.2667,1.3305
202008,92110,"san diego, ca",nan,600050,-0.1071,-0.1094,39,0.1143,-0.1136,27,-0.2987,-0.0357,40,0.4286,0,0,nan,-1,8,-0.3333,-0.6,40,0.0811,0.4286,524.4737762,0.0776,0.1932,1345,-0.0197,-0.0831,824636,-0.0701,0.1282,79,0.0972,0.0972,1.0256,-0.0315,0.3893
202007,92110,"san diego, ca",nan,672050,0.1689,-0.0259,35,-0.125,-0.2553,38.5,0.1846,0.0845,28,0,-0.125,0,nan,nan,12,0.5,0.5,37,0.0571,0.2759,486.6947644,-0.0015,0.1027,1372,-0.0147,-0.0168,886833,0.0151,0.1924,72,-0.04,-0.0526,1.0571,0.1821,0.4401
202007,91910,"chula vista, ca",nan,614550,0.0477,0.1761,30,-0.1892,-0.5522,30,-0.2857,-0.1176,48,0.2,-0.0769,0,nan,-1,4,-0.5,-0.8,67,0.0308,0,335.6115599,0.0237,0.0471,1653.5,0.0182,0.0661,684344,0.0706,0.1595,97,-0.049,-0.2761,2.2333,0.4766,1.2333
202006,92110,"san diego, ca",nan,574950,-0.0889,0.0666,40,-0.0698,-0.2,32.5,0.0484,0.0484,28,-0.125,0,0,nan,nan,8,0,-0.6,35,0.9444,-0.0278,487.4103649,-3.00E-04,0.0897,1392.5,-0.0262,0.2455,873619,0.0761,0.2721,75,0.2295,-0.1279,0.875,0.4564,0.155
202006,91910,"chula vista, ca",nan,586550,-0.0304,0.0683,37,-0.1591,-0.4127,42,0.0244,0.1667,40,0.1111,-0.2308,0,nan,nan,8,0,-0.6667,65,0.25,-0.2169,327.8371162,5.00E-04,0.0294,1624,-0.0316,-0.0205,639195,-0.04,0.0694,102,0.0625,-0.3014,1.7568,0.5749,0.4393
202005,92110,"san diego, ca",nan,631050,0.0993,-0.0061,43,0.075,-0.14,31,0.1273,0.0877,32,1,0,0,nan,nan,8,0,-0.6,18,0.125,17,487.5776398,0,0.0303,1430,0.1017,0.2577,811858,0.0277,0.1181,61,0.0893,0.1961,0.4186,0.0186,0.3986
202005,91910,"chula vista, ca",nan,604950,0.0717,0.0811,44,0.0233,-0.3973,41,0.038,0.5769,36,0.2857,-0.4,0,nan,-1,8,0,-0.75,52,-0.1186,51,327.6866067,-0.005,0.0294,1677,0.0419,0.0108,665807,0.0568,0.1119,96,-0.0588,0.2973,1.1818,-0.1903,1.1681
202004,92110,"san diego, ca",nan,574050,0.0361,-0.1972,40,0.3793,-0.2308,27.5,0.3095,0.1224,16,-0.5,-0.6667,0,nan,nan,8,-0.5,-0.3333,16,-0.4286,4.3333,487.5776398,-0.0394,-0.0447,1298,-0.0148,-0.0621,790005,0.0307,0.049,56,-0.0175,0.0182,0.4,-0.5655,0.3423
202004,91910,"chula vista, ca",nan,564500,-0.0309,0.0281,43,-0.0444,-0.3676,39.5,0.197,0.2742,28,-0.4167,-0.5,0,-1,nan,8,-0.3333,-0.6,59,-0.1571,18.6667,329.3413174,-0.0125,0.049,1609.5,0.0255,0.0148,630026,-0.0339,0.0581,102,-0.113,0.4366,1.3721,-0.1835,1.328
202003,92110,"san diego, ca",nan,554050,-0.105,-0.1669,29,0.2083,-0.3409,21,-0.2222,-0.087,32,0.3333,0.3333,0,nan,nan,16,1,-0.4286,28,0.12,13,507.6007917,-0.0274,0.0393,1317.5,0.015,0.1016,766481,-0.0479,0.0614,57,0.1633,0.2391,0.9655,-0.0761,0.9201
202003,91910,"chula vista, ca",nan,582500,0.0345,0.0419,45,0.1538,-0.375,33,0.0645,0.1786,48,0,0.3333,4,nan,nan,12,0,-0.5714,70,0.3725,13,333.4975369,0.011,0.0831,1569.5,0.0192,-0.068,652166,0.078,0.0695,115,0.2778,0.4935,1.5556,0.2479,1.4861
